drug_a,drug_b,severity,description
Levothyroxine,Nitroglycerin,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Fluoxetine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Alcohol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Grapefruit Juice,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Albuterol,Nitroglycerin,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Spironolactone,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Nitroglycerin,Tramadol,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Sertraline,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Nitroglycerin,Sertraline,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Fluoxetine,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Grapefruit Juice,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Fluoxetine,Nitroglycerin,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Nitroglycerin,Spironolactone,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Grapefruit Juice,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Alcohol,Nitroglycerin,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Grapefruit Juice,Nitroglycerin,High,"Combining serotonergic drugs (like SSRIs) with Tramadol increases the risk of serotonin syndrome, a potentially life-threatening condition."
Sertraline,Warfarin,Moderate,Co-administration of Sertraline and Warfarin may alter anticoagulant responses; monitor INR parameters.
Fluoxetine,Warfarin,Moderate,Co-administration of Fluoxetine and Warfarin may alter anticoagulant responses; monitor INR parameters.
Spironolactone,Warfarin,Moderate,Co-administration of Spironolactone and Warfarin may alter anticoagulant responses; monitor INR parameters.
Albuterol,Warfarin,Moderate,Co-administration of Albuterol and Warfarin may alter anticoagulant responses; monitor INR parameters.
Tramadol,Warfarin,Moderate,Co-administration of Tramadol and Warfarin may alter anticoagulant responses; monitor INR parameters.
